source_document,medicine_or_category,alert_type,key_insight,region_mentioned
WHO.pdf,Diagnostic Kits (IVDs),Statistical Risk / Case Study,"Foreword iv Acknowledgements v Abbreviations vi Executive summary vii 1 Global scale and scope of the problem, August 2017–December 2021 1 1 1 The threat 1 1 2 The scale 2 2 WHO Medical Product Alerts 4 3 Significance and impact of the COVID-19 pandemic 5 4 Medical products at risk 7 5 1 Sources of records 8 5 2 Types of SF IVDs recorded 8 5 Substandard and falsified in-vitro diagnostic medical devices (IVDs) 8 6 Driving forces and facilitators 10 7 Assessment and recommendations 13 8 Conclusions 15Contentsiii It is with a sincere sense of responsibility that we present the 5-year report on the Global Surveillance and Monitoring System (GSMS) for substandard and falsified (SF) medical products, covering the period August 2017–December 2021.",Global
WHO.pdf,Diagnostic Kits (IVDs),Statistical Risk / Case Study,"WHO thanks the individuals and organizations involved in establishment and maintenance of the Global Surveillance and Monitoring System for substandard and falsified medical products, whose commitment to transparency and data-driven analysis has been indispensable.Acknowledgementsv COVID-19 coronavirus disease 2019 GBT Global Benchmarking Tool GSMS Global Surveillance and Monitoring System IVDs in-vitro diagnostic medical devices LMIC low- and middle-income countries MPA medical product alert SF substandard and falsifiedAbbreviationsvi This report on the Global Surveillance and Monitoring System (GSMS) for SF medical products in the period 2017–2021 provides insights, describes challenges and offers strategies and actions for preventing, detecting and responding.",Global
WHO.pdf,General Pharmacy Medicines,Statistical Risk / Case Study,"The WHO report A study on the public health and socioeconomic impact of substandard and falsified medical products in 20172 noted that 10% of medical products in LMIC were substandard or falsified, indicating substantial under-recording and a much larger problem.",Global
WHO.pdf,General Pharmacy Medicines,Statistical Risk / Case Study,"There were 226 incidents recorded from the WHO African Region, indicating challenges in ensuring the 2 A study on the public health and socioeconomic impact of substandard and falsified medical products.",Africa
WHO.pdf,Vaccines,Statistical Risk / Case Study,2021 Reports of falsi- fied Lopinavir/ Ritonavir Reports of falsified Lopinavir/Ritona- vir Reports of falsified Covid19 vaccine (creation) Unsupported claims on potential efficacy of h-CHQ Publicity on efficacy of various ARV (incl.,Global
WHO.pdf,Vaccines,Statistical Risk / Case Study,combinations) Publicity on effica- cy of tocilizumab Media focus on phase 3 trials of some vaccines Start of influenza campaigns globally Publicity on efficacy of tocilizumab Public expectations on C–19 increase amid worries of limited vaccines’ supply and increase of cases “2nd wave” Reports of SF chloroquine (WHO alert) Reports of falsified IVDsMarch August May November April October June Reports of falsified influenza vaccine (WHO alert) Reports of falsified C–19 vaccine (imitation of a phase 3 trial product) Reports of falsified dexamethasone Further reports of falsified C–19 vaccinesFig.,Global
WHO.pdf,COVID-19 Treatments,Statistical Risk / Case Study,"5 in e-commerce and online shopping, which led to a flourishing supply of falsified medical products on illicit online marketplaces.6 The GSMS identified three types of SF medical products during the pandemic: repurposed products claimed to be effective against COVID-19; repurposed products claimed to be effective against COVID-19; and SF versions of novel products with fraudulent claims of treating or curing COVID-19.",Global
WHO.pdf,General Pharmacy Medicines,Statistical Risk / Case Study,"Frequency of products at risk of being substandard or falsified, August 2017–December 2021, by WHO region African Region Region of the Americas South-East Asian Region European Region Eastern Mediterranean Region Western Pacific RegionProduct Alimentary tract and etabolism UnknownSensory organsMusculo-skeletal systemAntineoplastic and immunomodu- lating agents Various Respiratory systemGenito urinary system and sex hormonesNervous system Antiparasitic products, insecticides and repellents DermatologicalsSystemic hormonal preparations, excl.",Africa
WHO.pdf,COVID-19 Treatments,Statistical Risk / Case Study,Such an “infodemic” was observed during the COVID-19 pandemic and led to the demand and the supply of both falsified and unauthorized medical products claimed to prevent or treat COVID-19.,Global
